Time Stamp	Motor Command	Feedback	Loop Error	Motor Power	Motor Amps
11/20/2018 11:07:05 AM	971	950	20	52	-2.4
11/20/2018 11:07:05 AM	971	951	17	51	-1.9
11/20/2018 11:07:05 AM	971	946	18	55	-2.4
11/20/2018 11:07:05 AM	971	953	23	49	-1.9
11/20/2018 11:07:05 AM	971	950	20	55	-1.9
11/20/2018 11:07:05 AM	971	947	20	55	-2.4
11/20/2018 11:07:06 AM	971	951	23	56	-1.9
11/20/2018 11:07:06 AM	971	954	24	49	-1.9
11/20/2018 11:07:06 AM	971	951	24	52	-2.4
11/20/2018 11:07:06 AM	971	951	21	48	-2.4
11/20/2018 11:07:06 AM	971	951	20	50	-2.4
11/20/2018 11:07:06 AM	971	952	21	52	-1.9
11/20/2018 11:07:06 AM	971	953	21	52	-1.9
11/20/2018 11:07:06 AM	971	947	19	53	-1.9
11/20/2018 11:07:07 AM	971	948	21	49	-1.9
11/20/2018 11:07:07 AM	971	950	17	53	-1.9
11/20/2018 11:07:07 AM	971	947	18	49	-1.9
11/20/2018 11:07:07 AM	971	951	21	52	-1.9
11/20/2018 11:07:07 AM	971	950	19	55	-1.9
11/20/2018 11:07:07 AM	971	946	18	49	-1.9
11/20/2018 11:07:07 AM	971	951	24	47	-1.9
11/20/2018 11:07:07 AM	971	953	21	54	-1.9
11/20/2018 11:07:08 AM	971	951	24	53	-2.4
11/20/2018 11:07:08 AM	971	948	20	49	-1.9
11/20/2018 11:07:08 AM	971	948	20	54	-1.9
11/20/2018 11:07:08 AM	971	947	19	58	-2.4
11/20/2018 11:07:08 AM	971	955	24	51	-1.9
11/20/2018 11:07:08 AM	971	950	20	52	-1.9
11/20/2018 11:07:08 AM	971	951	24	53	-1.9
11/20/2018 11:07:08 AM	971	948	20	51	-2.4
11/20/2018 11:07:09 AM	971	950	18	52	-2.4
11/20/2018 11:07:09 AM	971	948	18	57	-2.4
11/20/2018 11:07:09 AM	971	951	20	49	-1.9
11/20/2018 11:07:09 AM	-972	950	-10	-21	2
11/20/2018 11:07:09 AM	-972	869	-32	-89	1
11/20/2018 11:07:09 AM	-972	747	-40	-100	1
11/20/2018 11:07:09 AM	-972	635	-46	-112	2
11/20/2018 11:07:09 AM	-972	513	-44	-114	1.5
11/20/2018 11:07:09 AM	-972	395	-47	-111	1
11/20/2018 11:07:10 AM	-972	281	-51	-128	0
11/20/2018 11:07:10 AM	-972	155	-51	-116	1
11/20/2018 11:07:10 AM	-972	43	-52	-126	0
11/20/2018 11:07:10 AM	-972	-87	-36	-91	2
11/20/2018 11:07:10 AM	-972	-188	-54	-136	0.5
11/20/2018 11:07:10 AM	-972	-325	-44	-109	2
11/20/2018 11:07:10 AM	-972	-434	-45	-121	0.5
11/20/2018 11:07:10 AM	-972	-567	-43	-102	0.5
11/20/2018 11:07:11 AM	-972	-674	-46	-114	1.5
11/20/2018 11:07:11 AM	-972	-802	-37	-105	2
11/20/2018 11:07:11 AM	-972	-914	-32	-93	0.5
11/20/2018 11:07:11 AM	-972	-963	-11	-19	2
11/20/2018 11:07:11 AM	-972	-965	-11	-16	2
11/20/2018 11:07:11 AM	-972	-969	-9	-25	2
11/20/2018 11:07:11 AM	-972	-970	-15	-17	2
11/20/2018 11:07:11 AM	-972	-964	-11	-22	2
11/20/2018 11:07:11 AM	-972	-958	-7	-25	2
11/20/2018 11:07:12 AM	-972	-966	-12	-19	2
11/20/2018 11:07:12 AM	-972	-965	-4	-27	2
11/20/2018 11:07:12 AM	-972	-956	-2	-19	2
11/20/2018 11:07:12 AM	-972	-971	-9	-22	2
11/20/2018 11:07:12 AM	-972	-967	-7	-30	2.5
11/20/2018 11:07:12 AM	-972	-956	-5	-22	2
11/20/2018 11:07:12 AM	-972	-965	-10	-24	2
11/20/2018 11:07:12 AM	-972	-971	-11	-29	2.5
11/20/2018 11:07:13 AM	-972	-965	-2	-29	2
11/20/2018 11:07:13 AM	971	-924	36	91	-1.4
11/20/2018 11:07:13 AM	971	-824	33	103	-0.9
11/20/2018 11:07:13 AM	971	-693	52	106	-0.9
11/20/2018 11:07:13 AM	971	-587	49	128	-0.4
11/20/2018 11:07:13 AM	971	-463	57	139	0.5
11/20/2018 11:07:13 AM	971	-360	51	146	-0.4
11/20/2018 11:07:13 AM	971	-227	56	142	0
11/20/2018 11:07:14 AM	971	-112	49	135	0.5
11/20/2018 11:07:14 AM	971	0	78	202	3.7
11/20/2018 11:07:14 AM	971	148	51	125	-1.4
11/20/2018 11:07:14 AM	971	254	52	135	-0.4
11/20/2018 11:07:14 AM	971	375	52	132	0.5
11/20/2018 11:07:14 AM	971	502	56	130	0
11/20/2018 11:07:14 AM	971	614	55	141	-0.4
11/20/2018 11:07:14 AM	971	733	53	132	-1.4
11/20/2018 11:07:14 AM	971	848	58	147	0
11/20/2018 11:07:15 AM	971	953	16	45	-2.4
11/20/2018 11:07:15 AM	971	954	17	43	-2.4
11/20/2018 11:07:15 AM	971	953	16	42	-2.4
11/20/2018 11:07:15 AM	971	951	17	43	-2.9
11/20/2018 11:07:15 AM	971	955	18	43	-2.4
11/20/2018 11:07:15 AM	971	953	16	44	-2.4
11/20/2018 11:07:15 AM	971	956	16	44	-2.4
11/20/2018 11:07:15 AM	971	952	16	40	-2.4
11/20/2018 11:07:16 AM	971	952	18	41	-2.4
11/20/2018 11:07:16 AM	971	951	15	43	-2.4
11/20/2018 11:07:16 AM	971	955	20	43	-2.4
11/20/2018 11:07:16 AM	971	951	15	46	-2.4
11/20/2018 11:07:16 AM	971	955	18	43	-2.9
11/20/2018 11:07:16 AM	971	955	19	43	-2.4
11/20/2018 11:07:16 AM	971	953	15	47	-2.4
11/20/2018 11:07:16 AM	971	954	17	43	-2.4
11/20/2018 11:07:17 AM	-972	921	-44	-103	1
11/20/2018 11:07:17 AM	-972	795	-36	-87	1.5
11/20/2018 11:07:17 AM	-972	673	-43	-106	2
11/20/2018 11:07:17 AM	-972	559	-36	-100	2.5
11/20/2018 11:07:17 AM	-972	439	-44	-106	1
11/20/2018 11:07:17 AM	-972	322	-47	-109	0.5
11/20/2018 11:07:17 AM	-972	209	-47	-111	2
11/20/2018 11:07:17 AM	-972	91	-40	-130	0.5
11/20/2018 11:07:17 AM	-972	0	-75	-183	-0.4
11/20/2018 11:07:18 AM	-972	-155	-49	-140	1
11/20/2018 11:07:18 AM	-972	-282	-37	-103	2
11/20/2018 11:07:18 AM	-972	-396	-44	-115	1
11/20/2018 11:07:18 AM	-972	-526	-50	-109	0.5
11/20/2018 11:07:18 AM	-972	-635	-55	-120	1.5
11/20/2018 11:07:18 AM	-972	-760	-50	-109	1
11/20/2018 11:07:18 AM	-972	-871	-41	-110	0.5
11/20/2018 11:07:18 AM	-972	-970	-8	-18	2
11/20/2018 11:07:19 AM	-972	-959	-2	-26	2
11/20/2018 11:07:19 AM	-972	-965	-10	-18	2
11/20/2018 11:07:19 AM	-972	-960	-11	-26	2.5
11/20/2018 11:07:19 AM	-972	-959	-1	-25	2
11/20/2018 11:07:19 AM	-972	-961	-6	-23	2
11/20/2018 11:07:19 AM	-972	-961	-7	-20	2
11/20/2018 11:07:19 AM	-972	-956	-2	-28	2.5
11/20/2018 11:07:19 AM	-972	-954	-1	-25	2
11/20/2018 11:07:20 AM	-972	-968	-16	-19	2
11/20/2018 11:07:20 AM	-972	-968	-16	-26	2.5
11/20/2018 11:07:20 AM	-972	-965	-12	-23	2.5
11/20/2018 11:07:20 AM	-972	-963	-8	-19	2
11/20/2018 11:07:20 AM	-972	-964	-5	-25	2.5
11/20/2018 11:07:20 AM	971	-922	41	86	-0.9
11/20/2018 11:07:20 AM	971	-803	46	97	-1.4
11/20/2018 11:07:20 AM	971	-686	45	111	-0.9
11/20/2018 11:07:20 AM	971	-592	55	139	0
11/20/2018 11:07:21 AM	971	-462	52	124	1
11/20/2018 11:07:21 AM	971	-347	50	137	0
11/20/2018 11:07:21 AM	971	-219	60	131	-0.9
11/20/2018 11:07:21 AM	971	-96	59	136	1
11/20/2018 11:07:21 AM	971	0	81	203	3.8
11/20/2018 11:07:21 AM	971	140	45	124	-1.4
11/20/2018 11:07:21 AM	971	262	58	137	0
11/20/2018 11:07:21 AM	971	374	55	142	0.5
11/20/2018 11:07:22 AM	971	497	54	128	0
11/20/2018 11:07:22 AM	971	612	56	148	-0.9
11/20/2018 11:07:22 AM	971	738	58	131	-0.9
11/20/2018 11:07:22 AM	971	856	53	141	-0.4
11/20/2018 11:07:22 AM	971	952	20	50	-2.9
11/20/2018 11:07:22 AM	971	953	16	49	-2.9
11/20/2018 11:07:22 AM	971	953	20	47	-2.9
11/20/2018 11:07:22 AM	971	954	19	51	-2.9
11/20/2018 11:07:23 AM	971	947	18	47	-2.9
11/20/2018 11:07:23 AM	971	953	21	50	-2.9
11/20/2018 11:07:23 AM	971	947	17	51	-2.9
11/20/2018 11:07:23 AM	971	952	21	51	-2.9
11/20/2018 11:07:23 AM	971	952	20	49	-2.9
11/20/2018 11:07:23 AM	971	952	23	49	-2.9
11/20/2018 11:07:23 AM	971	951	20	47	-2.9
11/20/2018 11:07:23 AM	971	951	20	50	-2.9
11/20/2018 11:07:23 AM	971	951	19	45	-2.9
11/20/2018 11:07:24 AM	971	948	18	51	-2.9
11/20/2018 11:07:24 AM	971	954	21	46	-2.9
11/20/2018 11:07:24 AM	-972	945	-49	-119	0.5
11/20/2018 11:07:24 AM	-972	807	-36	-84	2
11/20/2018 11:07:24 AM	-972	701	-37	-107	1.5
11/20/2018 11:07:24 AM	-972	573	-44	-103	0.5
11/20/2018 11:07:24 AM	-972	454	-37	-98	1
11/20/2018 11:07:24 AM	-972	335	-46	-107	2
11/20/2018 11:07:25 AM	-972	222	-46	-110	1
11/20/2018 11:07:25 AM	-972	107	-48	-128	0
11/20/2018 11:07:25 AM	-972	0	-75	-194	-2.4
11/20/2018 11:07:25 AM	-972	-146	-53	-119	1
11/20/2018 11:07:25 AM	-972	-261	-38	-107	1
11/20/2018 11:07:25 AM	-972	-381	-55	-123	0.5
11/20/2018 11:07:25 AM	-972	-506	-45	-115	2
11/20/2018 11:07:25 AM	-972	-617	-54	-124	0
11/20/2018 11:07:26 AM	-972	-739	-44	-111	0.5
11/20/2018 11:07:26 AM	-972	-862	-43	-120	2
11/20/2018 11:07:26 AM	-972	-967	-11	-21	2.5
11/20/2018 11:07:26 AM	-972	-966	-11	-16	2
11/20/2018 11:07:26 AM	-972	-965	-11	-22	2
11/20/2018 11:07:26 AM	-972	-968	-11	-20	2
11/20/2018 11:07:26 AM	-972	-958	-3	-24	2
11/20/2018 11:07:26 AM	-972	-960	-7	-25	2
11/20/2018 11:07:26 AM	-972	-965	-9	-24	2
11/20/2018 11:07:27 AM	-972	-966	-5	-25	2
11/20/2018 11:07:27 AM	-972	-958	-9	-25	2.5
11/20/2018 11:07:27 AM	-972	-962	-11	-22	2
11/20/2018 11:07:27 AM	-972	-965	-15	-23	2
11/20/2018 11:07:27 AM	-972	-960	-11	-24	2
11/20/2018 11:07:27 AM	-972	-970	-13	-18	2
11/20/2018 11:07:27 AM	-972	-967	-15	-29	2.5
11/20/2018 11:07:27 AM	971	-947	40	79	-1.4
11/20/2018 11:07:28 AM	971	-841	41	89	-1.9
11/20/2018 11:07:28 AM	971	-727	50	109	0
11/20/2018 11:07:28 AM	971	-623	51	138	-0.9
11/20/2018 11:07:28 AM	971	-512	59	161	2.5
11/20/2018 11:07:28 AM	971	-392	58	150	0.5
11/20/2018 11:07:28 AM	971	-263	63	148	0
11/20/2018 11:07:28 AM	971	-143	53	135	-0.4
11/20/2018 11:07:28 AM	971	-19	51	131	0
11/20/2018 11:07:29 AM	971	116	41	103	-0.4
11/20/2018 11:07:29 AM	971	222	56	132	-0.9
11/20/2018 11:07:29 AM	971	344	57	130	0
11/20/2018 11:07:29 AM	971	452	56	130	0
11/20/2018 11:07:29 AM	971	578	57	140	-0.4
11/20/2018 11:07:29 AM	971	704	53	128	-0.9
11/20/2018 11:07:29 AM	971	817	51	146	-0.4
11/20/2018 11:07:29 AM	971	936	32	73	-1.4
11/20/2018 11:07:29 AM	971	947	24	56	-1.9
11/20/2018 11:07:30 AM	971	946	24	56	-1.9
11/20/2018 11:07:30 AM	971	953	25	58	-1.9
