Time Stamp	Motor Command	Feedback	Loop Error	Motor Power	Motor Amps
11/20/2018 11:07:05 AM	971	950	20	52	-2.4
11/20/2018 11:07:05 AM	971	951	17	51	-1.9
11/20/2018 11:07:05 AM	971	946	18	55	-2.4
11/20/2018 11:07:05 AM	971	953	23	49	-1.9
11/20/2018 11:07:05 AM	971	950	20	55	-1.9
11/20/2018 11:07:05 AM	971	947	20	55	-2.4
11/20/2018 11:07:06 AM	971	951	23	56	-1.9
11/20/2018 11:07:06 AM	971	954	24	49	-1.9
11/20/2018 11:07:06 AM	971	951	24	52	-2.4
11/20/2018 11:07:06 AM	971	951	21	48	-2.4
11/20/2018 11:07:06 AM	971	951	20	50	-2.4
11/20/2018 11:07:06 AM	971	952	21	52	-1.9
11/20/2018 11:07:06 AM	971	953	21	52	-1.9
11/20/2018 11:07:06 AM	971	947	19	53	-1.9
11/20/2018 11:07:07 AM	971	948	21	49	-1.9
11/20/2018 11:07:07 AM	971	950	17	53	-1.9
11/20/2018 11:07:07 AM	971	947	18	49	-1.9
11/20/2018 11:07:07 AM	971	951	21	52	-1.9
11/20/2018 11:07:07 AM	971	950	19	55	-1.9
11/20/2018 11:07:07 AM	971	946	18	49	-1.9
11/20/2018 11:07:07 AM	971	951	24	47	-1.9
11/20/2018 11:07:07 AM	971	953	21	54	-1.9
11/20/2018 11:07:08 AM	971	951	24	53	-2.4
11/20/2018 11:07:08 AM	971	948	20	49	-1.9
11/20/2018 11:07:08 AM	971	948	20	54	-1.9
11/20/2018 11:07:08 AM	971	947	19	58	-2.4
11/20/2018 11:07:08 AM	971	955	24	51	-1.9
11/20/2018 11:07:08 AM	971	950	20	52	-1.9
11/20/2018 11:07:08 AM	971	951	24	53	-1.9
11/20/2018 11:07:08 AM	971	948	20	51	-2.4
